node,energy_sum_u2,mean_abs_u,peak_abs_u,active_fraction
0,6867.426630,0.51852256,2.50730434,0.346250
25,716.550817,0.12467825,1.15417489,0.235750
26,713.027096,0.12418669,1.16042751,0.235500
24,711.307684,0.12409709,1.16343777,0.234750
21,709.281674,0.12369135,1.16877394,0.234125
23,706.110083,0.12355804,1.16070784,0.234750
27,705.036329,0.12324318,1.15860126,0.234125
28,701.197522,0.12277861,1.16424881,0.233875
20,697.793080,0.12260028,1.14993803,0.233375
12,697.548183,0.12253791,1.14751557,0.234000
11,693.442941,0.12219281,1.14886431,0.233625
15,693.069175,0.12212766,1.12805841,0.233375
22,687.834538,0.12118941,1.15515625,0.231375
19,685.306172,0.12116805,1.14054662,0.232250
33,684.896632,0.12165159,1.12411980,0.233125
10,682.255565,0.12090905,1.12685881,0.232125
30,681.508830,0.12072890,1.13613049,0.231500
16,681.287076,0.12091705,1.12988203,0.232500
9,677.927150,0.12062208,1.12424661,0.232375
18,677.535076,0.12076562,1.11342109,0.232250
14,677.331101,0.12034856,1.13522229,0.231625
29,676.821094,0.12012646,1.14771814,0.231250
13,670.272771,0.12017698,1.09978407,0.232125
34,668.366886,0.12013456,1.10104156,0.232375
31,668.203162,0.11951436,1.13009138,0.231000
35,667.235769,0.11972608,1.10479571,0.231625
8,655.369854,0.11848383,1.09387601,0.230750
42,639.665596,0.11713119,1.06702308,0.229750
43,637.806472,0.11677976,1.06851099,0.229125
7,634.868112,0.11596655,1.08875957,0.227375
36,634.365738,0.11630672,1.07201160,0.228375
37,629.849063,0.11587849,1.07739238,0.227750
38,627.449439,0.11556039,1.09471233,0.227500
44,624.283935,0.11520849,1.05922251,0.227625
32,616.444804,0.11335119,1.08645922,0.222125
41,615.621655,0.11509869,1.03419165,0.229500
17,615.212528,0.11310709,1.09239416,0.220375
6,609.836608,0.11334680,1.06450207,0.225750
39,609.452345,0.11472632,1.03778701,0.229000
45,608.243862,0.11316204,1.05386335,0.226000
5,607.622651,0.11290890,1.05533703,0.225250
46,580.485732,0.10989696,1.03433354,0.223250
40,562.909093,0.10919077,1.01822244,0.222375
4,548.602475,0.10629900,1.01313503,0.219000
47,514.223813,0.10214315,0.97886621,0.215875
48,479.781582,0.09839669,0.90686372,0.212875
49,461.879990,0.09664604,0.90854813,0.211875
2,444.999785,0.09467968,0.90075182,0.210625
3,419.544183,0.09213373,0.86649895,0.209500
1,390.675627,0.08981857,0.88883037,0.211250
