weighting,w_var,w_ac1,w_lyap,test_AUC,auc_ci95_low,auc_ci95_high,threshold_selected_on_validation,test_TPR_at_selected,test_FPR_at_selected,test_precision_at_selected,test_lead_s_at_selected,test_TPR_at_0.25,test_FPR_at_0.25,test_precision_at_0.25,test_lead_s_at_0.25
"var+AC1+Lyap (0.4,0.4,0.2) [used]",0.40,0.40,0.20,0.8892,0.8200,0.9500,0.250,0.980,0.900,0.521,56.94,0.980,0.900,0.521,56.94
"var+AC1 equal (0.5,0.5,0)",0.50,0.50,0.00,0.8760,0.8028,0.9404,0.300,0.980,0.860,0.533,57.43,1.000,0.960,0.510,58.72
"var only (1,0,0)",1.00,0.00,0.00,0.8828,0.8116,0.9448,0.300,0.980,0.840,0.538,55.03,0.980,0.880,0.527,56.81
"AC1 only (0,1,0)",0.00,1.00,0.00,0.8580,0.7840,0.9244,0.350,1.000,0.940,0.515,61.77,1.000,1.000,0.500,71.38
"Lyap only (0,0,1)",0.00,0.00,1.00,0.2452,0.1551,0.3412,0.100,1.000,1.000,0.500,73.55,0.960,1.000,0.490,69.78
"var-heavy (0.6,0.2,0.2)",0.60,0.20,0.20,0.8948,0.8280,0.9524,0.250,0.980,0.860,0.533,54.85,0.980,0.860,0.533,54.85
"AC1-heavy (0.2,0.6,0.2)",0.20,0.60,0.20,0.8784,0.8008,0.9432,0.250,1.000,0.940,0.515,61.72,1.000,0.940,0.515,61.72
"Lyap-heavy (0.25,0.25,0.5)",0.25,0.25,0.50,0.6508,0.5376,0.7564,0.200,1.000,1.000,0.500,67.92,1.000,0.980,0.505,50.00
"var+AC1 (0.7,0.3,0)",0.70,0.30,0.00,0.8776,0.8048,0.9424,0.300,0.980,0.860,0.533,55.75,0.980,0.920,0.516,58.31
"var+AC1 (0.3,0.7,0)",0.30,0.70,0.00,0.8732,0.8016,0.9376,0.350,0.980,0.840,0.538,53.29,1.000,0.980,0.505,63.28
