axis,value,n_trials,n_success,success_rate,ci95_low,ci95_high,is_in_distribution,energy_mean,mean_n_interventions
G_COUPLING,1.5,20,9,0.4500,0.2582,0.6579,no,6.7870,5.40
G_COUPLING,2.0,20,19,0.9500,0.7639,0.9911,no,4.4120,4.95
G_COUPLING,2.5,20,20,1.0000,0.8389,1.0000,yes,2.7829,5.10
G_COUPLING,3.0,20,20,1.0000,0.8389,1.0000,no,1.7385,5.00
G_COUPLING,3.5,20,20,1.0000,0.8389,1.0000,no,0.9943,5.00
OMEGA_HZ,0.06,20,18,0.9000,0.6990,0.9721,no,2.9640,4.50
OMEGA_HZ,0.08,20,20,1.0000,0.8389,1.0000,no,2.8220,4.70
OMEGA_HZ,0.1,20,20,1.0000,0.8389,1.0000,yes,2.7829,5.10
OMEGA_HZ,0.12,20,17,0.8500,0.6396,0.9476,no,2.7719,4.70
OMEGA_HZ,0.14,20,20,1.0000,0.8389,1.0000,no,2.8712,5.00
A_SEIZURE,0.3,20,20,1.0000,0.8389,1.0000,no,0.3245,5.05
A_SEIZURE,0.45,20,20,1.0000,0.8389,1.0000,no,0.4703,5.10
A_SEIZURE,0.6,20,20,1.0000,0.8389,1.0000,yes,2.7829,5.10
A_SEIZURE,0.75,20,6,0.3000,0.1455,0.5190,no,11.2459,5.40
A_SEIZURE,0.9,20,1,0.0500,0.0089,0.2361,no,20.1568,4.55
