scenario,openloop_amplitude,n_trials,n_success,success_rate,ci95_low,ci95_high,energy_mean,energy_ci95_halfwidth,judged_zone_amp_mean
constant,0.030,20,6,0.3000,0.1455,0.5190,0.2880,0.0000,0.4439
constant,0.060,20,20,1.0000,0.8389,1.0000,1.1520,0.0000,0.0081
constant,0.090,20,20,1.0000,0.8389,1.0000,2.5920,0.0000,0.0067
constant,0.120,20,20,1.0000,0.8389,1.0000,4.6080,0.0000,0.0064
constant,0.150,20,20,1.0000,0.8389,1.0000,7.2000,0.0000,0.0064
intermittent,0.030,20,20,1.0000,0.8389,1.0000,0.4320,0.0000,0.0233
intermittent,0.060,20,20,1.0000,0.8389,1.0000,1.7280,0.0000,0.0081
intermittent,0.090,20,20,1.0000,0.8389,1.0000,3.8880,0.0000,0.0067
intermittent,0.120,20,20,1.0000,0.8389,1.0000,6.9120,0.0000,0.0063
intermittent,0.150,20,20,1.0000,0.8389,1.0000,10.8000,0.0000,0.0064
