trial,seed,suppressed,energy,offtarget,final,n_interventions,real_frac
50,1050,yes,10.363795,0.041286,0.157341,6,1.000000
51,1051,no,9.010662,0.045969,0.355760,6,1.000000
52,1052,no,11.390836,0.041661,0.329915,6,1.000000
53,1053,yes,10.838880,0.037472,0.219677,6,1.000000
54,1054,yes,11.031044,0.038845,0.276864,6,1.000000
55,1055,no,8.124986,0.046586,0.384938,5,1.000000
56,1056,no,8.957496,0.044012,0.337247,5,1.000000
57,1057,no,11.400040,0.039721,0.352661,6,1.000000
58,1058,yes,10.448364,0.038065,0.215153,6,1.000000
59,1059,yes,9.114956,0.042222,0.280957,6,1.000000
60,1060,yes,12.372548,0.040851,0.268852,6,1.000000
61,1061,yes,10.702693,0.040715,0.166578,6,1.000000
62,1062,yes,11.404409,0.040160,0.252446,6,1.000000
63,1063,yes,12.420918,0.040504,0.179379,6,1.000000
64,1064,no,9.912358,0.040542,0.318050,6,1.000000
65,1065,yes,11.136619,0.039874,0.235391,6,1.000000
66,1066,yes,11.827426,0.040481,0.238414,6,1.000000
67,1067,yes,9.821953,0.043384,0.295840,6,1.000000
68,1068,yes,9.658581,0.041185,0.293957,6,1.000000
69,1069,no,8.707473,0.046287,0.323006,6,1.000000
70,1070,yes,11.958543,0.037789,0.208009,6,1.000000
71,1071,yes,9.502241,0.043544,0.292643,6,1.000000
72,1072,yes,12.056824,0.037944,0.197269,6,1.000000
73,1073,no,10.820910,0.040944,0.316490,6,1.000000
74,1074,no,11.155518,0.047721,0.374725,5,1.000000
75,1075,yes,11.676997,0.039371,0.175467,6,1.000000
76,1076,yes,11.212965,0.044297,0.275517,5,1.000000
77,1077,no,7.056264,0.054997,0.337397,5,1.000000
78,1078,yes,10.637055,0.043380,0.195157,6,1.000000
79,1079,yes,9.412384,0.040552,0.211276,6,1.000000
80,1080,no,8.325867,0.048792,0.361457,5,1.000000
81,1081,yes,11.678919,0.040057,0.185815,6,1.000000
82,1082,no,10.958656,0.041950,0.339881,6,1.000000
83,1083,yes,9.396195,0.045145,0.287370,5,1.000000
84,1084,yes,11.216781,0.040906,0.253324,6,1.000000
85,1085,no,10.247668,0.042353,0.317641,5,1.000000
86,1086,yes,11.072638,0.038945,0.276414,6,1.000000
87,1087,yes,8.717936,0.049329,0.295066,5,1.000000
88,1088,no,8.813459,0.046013,0.349543,6,1.000000
89,1089,no,10.371159,0.041720,0.318935,6,1.000000
90,1090,yes,10.132448,0.040809,0.194067,6,1.000000
91,1091,yes,10.918113,0.042468,0.198587,6,1.000000
92,1092,yes,11.581123,0.041332,0.295570,6,1.000000
93,1093,yes,9.074389,0.043642,0.186646,6,1.000000
94,1094,yes,7.881370,0.049321,0.290798,6,1.000000
95,1095,no,10.282421,0.045088,0.351960,5,1.000000
96,1096,yes,11.059202,0.043127,0.199786,6,1.000000
97,1097,yes,11.210755,0.040294,0.245854,6,1.000000
98,1098,no,11.145364,0.040646,0.324178,5,1.000000
99,1099,yes,11.095097,0.040701,0.259965,6,1.000000
