rho,trial,seed,suppressed,energy,offtarget,final,n_interventions
0.01,0,1000,yes,3.544441,0.092316,0.299568,4
0.01,1,1001,yes,2.317943,0.109356,0.235783,5
0.01,2,1002,yes,3.864326,0.086887,0.213665,4
0.01,3,1003,yes,2.752934,0.107381,0.163244,4
0.01,4,1004,yes,2.058462,0.119864,0.126144,6
0.01,5,1005,yes,3.580369,0.081901,0.099841,5
0.01,6,1006,yes,2.154226,0.117939,0.054886,6
0.01,7,1007,yes,1.389145,0.170738,0.077392,6
0.01,8,1008,yes,3.833736,0.082561,0.141702,5
0.01,9,1009,yes,2.195204,0.116505,0.143799,5
0.01,10,1010,yes,2.348772,0.104567,0.077389,6
0.01,11,1011,yes,2.568444,0.097612,0.101464,5
0.01,12,1012,yes,3.294543,0.087842,0.063959,5
0.01,13,1013,yes,2.926491,0.097659,0.156314,4
0.01,14,1014,yes,2.746490,0.096791,0.243564,5
0.01,15,1015,yes,1.881333,0.127671,0.062095,6
0.01,16,1016,yes,3.278823,0.089265,0.158448,4
0.01,17,1017,yes,2.955954,0.094715,0.169220,5
0.01,18,1018,yes,2.285494,0.107443,0.142134,6
0.01,19,1019,yes,3.680742,0.074559,0.078517,6
