condition,trial,seed,suppressed,energy,final_zone_amp,n_interventions
bias+0.20,0,1000,yes,3.673219,0.184214,6
bias+0.20,1,1001,yes,2.237183,0.179908,6
bias+0.20,2,1002,yes,1.966591,0.122452,6
bias+0.20,3,1003,yes,2.158183,0.080220,6
bias+0.20,4,1004,yes,1.653791,0.113178,6
bias+0.20,5,1005,yes,3.209433,0.172221,6
bias+0.20,6,1006,yes,2.292035,0.084181,6
bias+0.20,7,1007,yes,1.753433,0.137788,6
bias+0.20,8,1008,yes,2.303834,0.098524,6
bias+0.20,9,1009,yes,2.347552,0.097720,6
bias+0.20,10,1010,yes,2.087197,0.085836,6
bias+0.20,11,1011,yes,3.396682,0.074542,6
bias+0.20,12,1012,yes,3.583023,0.149340,6
bias+0.20,13,1013,yes,2.445456,0.191813,6
bias+0.20,14,1014,yes,2.671159,0.173271,6
bias+0.20,15,1015,yes,1.965242,0.151510,6
bias+0.20,16,1016,yes,2.130588,0.125333,6
bias+0.20,17,1017,yes,2.360179,0.163292,6
bias+0.20,18,1018,yes,2.442727,0.205965,6
bias+0.20,19,1019,yes,3.073394,0.091215,6
