condition,trial,seed,suppressed,energy,final_zone_amp,n_interventions
bias-0.10,0,1000,no,3.842902,0.310195,2
bias-0.10,1,1001,no,2.230134,0.344066,2
bias-0.10,2,1002,yes,3.658495,0.170736,3
bias-0.10,3,1003,no,3.095974,0.316125,4
bias-0.10,4,1004,no,1.805226,0.310467,5
bias-0.10,5,1005,no,3.021506,0.311460,3
bias-0.10,6,1006,no,3.136940,0.371986,3
bias-0.10,7,1007,yes,2.484430,0.274091,3
bias-0.10,8,1008,yes,3.600881,0.227711,2
bias-0.10,9,1009,yes,3.298927,0.142075,3
bias-0.10,10,1010,yes,3.073107,0.216978,3
bias-0.10,11,1011,yes,3.871181,0.146890,3
bias-0.10,12,1012,yes,3.665237,0.145167,3
bias-0.10,13,1013,yes,1.553385,0.183110,4
bias-0.10,14,1014,yes,2.603972,0.261692,3
bias-0.10,15,1015,no,2.283268,0.356549,3
bias-0.10,16,1016,no,3.026877,0.308362,3
bias-0.10,17,1017,yes,3.367424,0.187015,3
bias-0.10,18,1018,yes,2.967484,0.136626,4
bias-0.10,19,1019,yes,4.223866,0.229978,3
