condition,trial,seed,suppressed,energy,final_zone_amp,n_interventions
clean,0,1000,yes,3.544441,0.299568,4
clean,1,1001,yes,2.317943,0.235783,5
clean,2,1002,yes,3.864326,0.213665,4
clean,3,1003,yes,2.752934,0.163244,4
clean,4,1004,yes,2.058462,0.126144,6
clean,5,1005,yes,3.580369,0.099841,5
clean,6,1006,yes,2.154226,0.054886,6
clean,7,1007,yes,1.389145,0.077392,6
clean,8,1008,yes,3.833736,0.141702,5
clean,9,1009,yes,2.195204,0.143799,5
clean,10,1010,yes,2.348772,0.077389,6
clean,11,1011,yes,2.568444,0.101464,5
clean,12,1012,yes,3.294543,0.063959,5
clean,13,1013,yes,2.926491,0.156314,4
clean,14,1014,yes,2.746490,0.243564,5
clean,15,1015,yes,1.881333,0.062095,6
clean,16,1016,yes,3.278823,0.158448,4
clean,17,1017,yes,2.955954,0.169220,5
clean,18,1018,yes,2.285494,0.142134,6
clean,19,1019,yes,3.680742,0.078517,6
