condition,trial,seed,suppressed,energy,final_zone_amp,n_interventions
noise0.15,0,1000,yes,3.043024,0.194169,6
noise0.15,1,1001,yes,1.809450,0.108490,6
noise0.15,2,1002,yes,2.223432,0.120518,6
noise0.15,3,1003,yes,1.896728,0.059617,6
noise0.15,4,1004,yes,1.685198,0.109960,6
noise0.15,5,1005,yes,2.437797,0.111416,6
noise0.15,6,1006,yes,2.582368,0.151640,6
noise0.15,7,1007,yes,1.834043,0.074794,6
noise0.15,8,1008,yes,2.553184,0.115177,6
noise0.15,9,1009,yes,2.712355,0.154226,6
noise0.15,10,1010,yes,2.577793,0.187460,6
noise0.15,11,1011,yes,2.558151,0.145846,6
noise0.15,12,1012,yes,3.124392,0.147802,6
noise0.15,13,1013,yes,2.240289,0.109814,6
noise0.15,14,1014,yes,2.386626,0.072407,6
noise0.15,15,1015,yes,2.137770,0.123704,6
noise0.15,16,1016,yes,2.521132,0.187853,6
noise0.15,17,1017,yes,2.412986,0.133198,6
noise0.15,18,1018,yes,1.892851,0.078740,6
noise0.15,19,1019,yes,3.373819,0.129691,6
