quantity,value
seed,1000
n_steps,1600
recruited_node_fraction_true,0.1167
n_recruited_nodes_true,7
median_time_to_recruitment_s_nonzone,8.900
kuramoto_R_whole_last200,0.8110
kuramoto_R_zone_last200,0.9995
nonzone_amp_intact,0.1369
nonzone_amp_ablated,0.0458
ablation_reduction_percent,66.5
n_surrogates,20
swaps_per_edge,10
surrogate_nonzone_amp_mean,0.1826
surrogate_nonzone_amp_sd,0.0071
surrogate_recruited_fraction_mean,0.0758
t_statistic,28.793
df,19
p_value,3.886e-17
true_minus_surrogate_mean,-0.0457
