trial,seed,suppressed,energy,offtarget,final,n_interventions,real_frac
0,1000,no,4.292843,0.493407,0.359500,5,0.496464
1,1001,no,3.548829,0.525594,0.368211,5,0.475980
2,1002,yes,7.312901,0.911213,0.138806,5,0.473001
3,1003,yes,3.813936,0.859281,0.169470,5,0.543060
4,1004,no,3.318760,0.488019,0.374553,6,0.551297
5,1005,no,4.182745,0.490111,0.360297,6,0.504181
6,1006,no,3.750131,0.476799,0.360511,5,0.463267
7,1007,no,3.436742,0.498570,0.378945,5,0.510950
8,1008,no,4.308287,0.499871,0.364418,5,0.496376
9,1009,no,3.542336,0.408162,0.374123,5,0.477916
10,1010,yes,5.774601,0.865628,0.260351,5,0.478367
11,1011,no,4.589305,0.544216,0.355835,5,0.518706
12,1012,no,3.097063,0.307653,0.349087,6,0.513434
13,1013,no,3.957808,0.605286,0.331905,6,0.540324
14,1014,yes,11.903933,0.924749,0.171986,5,0.536418
15,1015,no,4.064730,0.499983,0.373055,5,0.533895
16,1016,no,4.099928,0.567302,0.354209,5,0.426993
17,1017,no,3.586359,0.503092,0.369832,5,0.518835
18,1018,yes,5.310032,0.935416,0.113728,6,0.477911
19,1019,no,4.058140,0.477919,0.374451,6,0.521071
20,1020,no,3.843824,0.433985,0.362080,5,0.535556
21,1021,no,4.007428,0.500433,0.361543,5,0.498666
22,1022,no,3.801397,0.441858,0.360067,6,0.493216
23,1023,no,3.549148,0.484538,0.382404,5,0.513457
24,1024,no,4.108565,0.463450,0.369117,5,0.507851
25,1025,no,3.407450,0.373503,0.360237,6,0.497954
26,1026,yes,10.178494,0.958955,0.124806,5,0.464304
27,1027,yes,11.977192,0.917833,0.154211,5,0.490971
28,1028,no,3.399961,0.374176,0.371664,5,0.482237
29,1029,no,3.942383,0.451929,0.388441,5,0.515741
30,1030,no,4.013598,0.519111,0.399024,5,0.497812
31,1031,no,2.750576,0.213842,0.365375,5,0.498480
32,1032,no,3.908115,0.520041,0.341963,6,0.487132
