trial,seed,suppressed,energy,offtarget,final,n_interventions,real_frac
0,1000,yes,1.152000,0.000000,0.009385,0,0.513857
1,1001,yes,1.152000,0.000000,0.007709,0,0.505543
2,1002,yes,1.152000,0.000000,0.008222,0,0.491752
3,1003,yes,1.152000,0.000000,0.008116,0,0.497256
4,1004,yes,1.152000,0.000000,0.008265,0,0.509685
5,1005,yes,1.152000,0.000000,0.007526,0,0.512588
6,1006,yes,1.152000,0.000000,0.007456,0,0.501217
7,1007,yes,1.152000,0.000000,0.007997,0,0.498103
8,1008,yes,1.152000,0.000000,0.008397,0,0.491123
9,1009,yes,1.152000,0.000000,0.008369,0,0.518802
10,1010,yes,1.152000,0.000000,0.008403,0,0.499839
11,1011,yes,1.152000,0.000000,0.009299,0,0.490101
12,1012,yes,1.152000,0.000000,0.007734,0,0.500109
13,1013,yes,1.152000,0.000000,0.007852,0,0.502011
14,1014,yes,1.152000,0.000000,0.007258,0,0.506571
15,1015,yes,1.152000,0.000000,0.008084,0,0.506300
16,1016,yes,1.152000,0.000000,0.008057,0,0.500066
17,1017,yes,1.152000,0.000000,0.007575,0,0.510391
18,1018,yes,1.152000,0.000000,0.008056,0,0.508359
19,1019,yes,1.151999,0.000000,0.007581,0,0.507281
20,1020,yes,1.152000,0.000000,0.009215,0,0.499740
21,1021,yes,1.152000,0.000000,0.007716,0,0.511455
22,1022,yes,1.152000,0.000000,0.007275,0,0.507142
23,1023,yes,1.152000,0.000000,0.007093,0,0.497284
24,1024,yes,1.152000,0.000000,0.007134,0,0.504950
25,1025,yes,1.152000,0.000000,0.008331,0,0.510953
26,1026,yes,1.152000,0.000000,0.007849,0,0.497579
27,1027,yes,1.152000,0.000000,0.008075,0,0.492874
28,1028,yes,1.152000,0.000000,0.007710,0,0.500546
29,1029,yes,1.152000,0.000000,0.008769,0,0.503264
30,1030,yes,1.152000,0.000000,0.008060,0,0.500983
31,1031,yes,1.152000,0.000000,0.008834,0,0.499681
32,1032,yes,1.152000,0.000000,0.009375,0,0.517338
33,1033,yes,1.152000,0.000000,0.009284,0,0.499888
34,1034,yes,1.152000,0.000000,0.007633,0,0.492674
35,1035,yes,1.152000,0.000000,0.007809,0,0.490420
36,1036,yes,1.152000,0.000000,0.008262,0,0.492578
37,1037,yes,1.152000,0.000000,0.007548,0,0.497703
38,1038,yes,1.152000,0.000000,0.006840,0,0.497836
39,1039,yes,1.152000,0.000000,0.008366,0,0.505258
40,1040,yes,1.152000,0.000000,0.007517,0,0.506646
41,1041,yes,1.152000,0.000000,0.007437,0,0.506534
42,1042,yes,1.151999,0.000000,0.007750,0,0.504167
43,1043,yes,1.152000,0.000000,0.007555,0,0.494306
44,1044,yes,1.152000,0.000000,0.008906,0,0.506949
45,1045,yes,1.152000,0.000000,0.008073,0,0.514133
46,1046,yes,1.152000,0.000000,0.008700,0,0.493026
47,1047,yes,1.152000,0.000000,0.009007,0,0.499533
48,1048,yes,1.151999,0.000000,0.007826,0,0.501166
49,1049,yes,1.152000,0.000000,0.008023,0,0.509038
50,1050,yes,1.152000,0.000000,0.007781,0,0.508228
51,1051,yes,1.152000,0.000000,0.008952,0,0.499276
52,1052,yes,1.152000,0.000000,0.010091,0,0.495448
53,1053,yes,1.151999,0.000000,0.008908,0,0.491012
54,1054,yes,1.152000,0.000000,0.007316,0,0.486840
55,1055,yes,1.152000,0.000000,0.007861,0,0.491474
56,1056,yes,1.152000,0.000000,0.008264,0,0.488365
57,1057,yes,1.152000,0.000000,0.008338,0,0.503464
58,1058,yes,1.152000,0.000000,0.008028,0,0.492587
59,1059,yes,1.152000,0.000000,0.007962,0,0.491350
60,1060,yes,1.152000,0.000000,0.008691,0,0.496544
61,1061,yes,1.152000,0.000000,0.008587,0,0.496216
62,1062,yes,1.152000,0.000000,0.007661,0,0.492219
63,1063,yes,1.152000,0.000000,0.008987,0,0.497298
64,1064,yes,1.152000,0.000000,0.007579,0,0.503948
65,1065,yes,1.152000,0.000000,0.007493,0,0.494631
66,1066,yes,1.152000,0.000000,0.009347,0,0.511032
67,1067,yes,1.152000,0.000000,0.008066,0,0.505408
68,1068,yes,1.152000,0.000000,0.012526,0,0.496952
69,1069,yes,1.151999,0.000000,0.008152,0,0.498732
70,1070,yes,1.152000,0.000000,0.007438,0,0.489666
71,1071,yes,1.152000,0.000000,0.007517,0,0.506196
72,1072,yes,1.152000,0.000000,0.007952,0,0.506696
73,1073,yes,1.152000,0.000000,0.008266,0,0.503088
74,1074,yes,1.152000,0.000000,0.007644,0,0.509819
75,1075,yes,1.152000,0.000000,0.008136,0,0.482711
76,1076,yes,1.152000,0.000000,0.008825,0,0.494807
77,1077,yes,1.152000,0.000000,0.008200,0,0.500799
78,1078,yes,1.152000,0.000000,0.009044,0,0.508977
79,1079,yes,1.152000,0.000000,0.008349,0,0.494039
80,1080,yes,1.152000,0.000000,0.008132,0,0.498826
81,1081,yes,1.152000,0.000000,0.007304,0,0.496046
82,1082,yes,1.152000,0.000000,0.008802,0,0.487683
83,1083,yes,1.152000,0.000000,0.008254,0,0.497184
84,1084,yes,1.152000,0.000000,0.007730,0,0.495623
85,1085,yes,1.152000,0.000000,0.008590,0,0.496813
86,1086,yes,1.152000,0.000000,0.007665,0,0.489469
87,1087,yes,1.152000,0.000000,0.008850,0,0.512853
88,1088,yes,1.152000,0.000000,0.008472,0,0.509530
89,1089,yes,1.152000,0.000000,0.008262,0,0.512020
90,1090,yes,1.152000,0.000000,0.007960,0,0.496125
91,1091,yes,1.152000,0.000000,0.008471,0,0.497176
92,1092,yes,1.152000,0.000000,0.007723,0,0.505800
93,1093,yes,1.152000,0.000000,0.008236,0,0.505110
94,1094,yes,1.152000,0.000000,0.009098,0,0.488255
95,1095,yes,1.152000,0.000000,0.008150,0,0.498455
96,1096,yes,1.152000,0.000000,0.008095,0,0.507013
97,1097,yes,1.152000,0.000000,0.008055,0,0.494102
98,1098,yes,1.152000,0.000000,0.008604,0,0.505486
99,1099,yes,1.152000,0.000000,0.008677,0,0.505837
