trial,seed,suppressed,energy,offtarget,final,n_interventions,real_frac
0,1000,yes,0.719043,0.000000,0.019789,0,0.514642
1,1001,yes,2.064949,0.000000,0.006488,0,0.509091
2,1002,yes,2.749179,0.000000,0.006561,0,0.490712
3,1003,yes,1.540808,0.000000,0.007553,0,0.497890
4,1004,yes,0.392413,0.000000,0.013729,0,0.517580
5,1005,yes,0.844955,0.000000,0.007068,0,0.512327
6,1006,yes,1.218995,0.000000,0.007143,0,0.505831
7,1007,yes,0.461045,0.000000,0.010994,0,0.509132
8,1008,yes,1.668356,0.000000,0.007464,0,0.497337
9,1009,yes,2.674053,0.000000,0.006660,0,0.514210
10,1010,yes,2.823882,0.000000,0.006825,0,0.499518
11,1011,yes,1.484743,0.000000,0.008017,0,0.488642
12,1012,yes,1.709655,0.000000,0.006898,0,0.499712
13,1013,yes,2.165234,0.000000,0.006653,0,0.505358
14,1014,yes,1.612934,0.000000,0.006440,0,0.505151
15,1015,yes,1.519992,0.000000,0.007180,0,0.502423
16,1016,yes,2.717797,0.000000,0.006633,0,0.487659
17,1017,yes,2.538083,0.000000,0.006252,0,0.506360
18,1018,yes,0.338688,0.000000,0.014622,0,0.519643
19,1019,yes,1.551599,0.000000,0.006917,0,0.503374
20,1020,yes,2.172538,0.000000,0.007365,0,0.497526
21,1021,yes,2.182495,0.000000,0.006587,0,0.501553
22,1022,yes,2.508808,0.000000,0.006312,0,0.503526
23,1023,yes,1.612414,0.000000,0.006539,0,0.500038
24,1024,yes,2.191468,0.000000,0.006154,0,0.503739
25,1025,yes,1.116765,0.000000,0.008216,0,0.507984
26,1026,yes,2.137603,0.000000,0.006774,0,0.505425
27,1027,yes,1.089984,0.000000,0.007132,0,0.488980
28,1028,yes,1.324197,0.000000,0.006946,0,0.492685
29,1029,yes,1.282755,0.000000,0.008041,0,0.502402
30,1030,yes,0.834181,0.000000,0.006862,0,0.511176
31,1031,yes,0.816539,0.000000,0.007476,0,0.501597
32,1032,yes,0.383083,0.000000,0.020303,0,0.498419
33,1033,yes,1.619815,0.000000,0.007739,0,0.502732
34,1034,yes,2.071466,0.000000,0.006783,0,0.493397
35,1035,yes,3.263348,0.000000,0.006536,0,0.495420
36,1036,yes,2.335987,0.000000,0.006370,0,0.493049
37,1037,yes,1.811292,0.000000,0.006836,0,0.495922
38,1038,yes,0.762783,0.000000,0.006397,0,0.527727
39,1039,yes,0.440531,0.000000,0.013202,0,0.502463
40,1040,yes,2.538065,0.000000,0.006401,0,0.498371
41,1041,yes,2.884361,0.000000,0.006103,0,0.503597
42,1042,yes,1.803392,0.000000,0.006904,0,0.502462
43,1043,yes,1.650959,0.000000,0.006447,0,0.489249
44,1044,yes,1.705962,0.000000,0.007772,0,0.508577
45,1045,yes,2.117116,0.000000,0.006916,0,0.511602
46,1046,yes,1.288510,0.000000,0.007801,0,0.497052
47,1047,yes,2.620207,0.000000,0.007084,0,0.492144
48,1048,yes,2.114976,0.000000,0.006659,0,0.502587
49,1049,yes,0.575730,0.000000,0.045444,0,0.510076
50,1050,yes,1.589182,0.000000,0.006368,0,0.494321
51,1051,yes,2.106199,0.000000,0.007288,0,0.503342
52,1052,yes,2.811030,0.000000,0.006404,0,0.492898
53,1053,yes,2.218486,0.000000,0.007445,0,0.496157
54,1054,yes,2.129389,0.000000,0.006326,0,0.486658
55,1055,yes,1.221731,0.000000,0.007425,0,0.496224
56,1056,yes,2.391480,0.000000,0.006715,0,0.488441
57,1057,yes,1.316040,0.000000,0.007657,0,0.506521
58,1058,yes,2.042875,0.000000,0.006981,0,0.489306
59,1059,yes,0.374243,0.000000,0.058936,0,0.505700
60,1060,yes,1.943786,0.000000,0.007285,0,0.496884
61,1061,yes,1.942928,0.000000,0.007350,0,0.498877
62,1062,yes,2.012704,0.000000,0.006684,0,0.495920
63,1063,yes,0.375408,0.000000,0.021584,0,0.510138
64,1064,yes,1.606342,0.000000,0.006550,0,0.510291
65,1065,yes,1.847253,0.000000,0.006394,0,0.492630
66,1066,yes,1.489684,0.000000,0.008299,0,0.506652
67,1067,yes,0.331760,0.000000,0.011603,0,0.524303
68,1068,yes,1.423437,0.000000,0.010252,0,0.492598
69,1069,yes,1.885920,0.000000,0.007019,0,0.500248
70,1070,yes,0.336519,0.000000,0.010276,0,0.509077
71,1071,yes,1.316672,0.000000,0.007081,0,0.506694
72,1072,yes,1.323039,0.000000,0.007583,0,0.509888
73,1073,yes,2.379080,0.000000,0.006656,0,0.497361
74,1074,yes,2.167984,0.000000,0.006595,0,0.505188
75,1075,yes,2.711308,0.000000,0.006486,0,0.493303
76,1076,yes,1.918238,0.000000,0.007086,0,0.489301
77,1077,yes,2.280178,0.000000,0.007119,0,0.501422
78,1078,yes,2.139279,0.000000,0.007645,0,0.504674
79,1079,yes,1.744117,0.000000,0.007203,0,0.501261
80,1080,yes,2.757054,0.000000,0.006565,0,0.497565
81,1081,yes,1.911543,0.000000,0.006460,0,0.498304
82,1082,yes,2.110747,0.000000,0.007234,0,0.490098
83,1083,yes,2.906408,0.000000,0.006873,0,0.496957
84,1084,yes,2.690500,0.000000,0.006168,0,0.498698
85,1085,yes,0.353372,0.000000,0.020390,0,0.489386
86,1086,yes,1.669728,0.000000,0.006951,0,0.494224
87,1087,yes,0.283924,0.000000,0.014615,0,0.522745
88,1088,yes,1.298403,0.000000,0.007846,0,0.510926
89,1089,yes,1.829914,0.000000,0.007190,0,0.506047
90,1090,yes,1.863112,0.000000,0.007041,0,0.505784
91,1091,yes,2.093022,0.000000,0.006955,0,0.503755
92,1092,yes,1.895942,0.000000,0.006646,0,0.499661
93,1093,yes,1.458442,0.000000,0.006821,0,0.493985
94,1094,yes,2.113057,0.000000,0.007198,0,0.497844
95,1095,yes,1.610188,0.000000,0.007362,0,0.503597
96,1096,yes,2.296682,0.000000,0.006499,0,0.512352
97,1097,yes,2.135553,0.000000,0.006605,0,0.491359
98,1098,yes,0.237584,0.000000,0.019310,0,0.539731
99,1099,yes,2.190827,0.000000,0.007241,0,0.503069
