trial,seed,suppressed,energy,offtarget,final,n_interventions,real_frac
0,1000,yes,3.544441,0.092316,0.299568,4,0.550535
1,1001,yes,2.317943,0.109356,0.235783,5,0.540720
2,1002,yes,3.864326,0.086887,0.213665,4,0.470056
3,1003,yes,2.752934,0.107381,0.163244,4,0.625175
4,1004,yes,2.058462,0.119864,0.126144,6,0.574113
5,1005,yes,3.580369,0.081901,0.099841,5,0.489841
6,1006,yes,2.154226,0.117939,0.054886,6,0.426625
7,1007,yes,1.389145,0.170738,0.077392,6,0.525166
8,1008,yes,3.833736,0.082561,0.141702,5,0.520725
9,1009,yes,2.195204,0.116505,0.143799,5,0.442864
10,1010,yes,2.348772,0.104567,0.077389,6,0.474657
11,1011,yes,2.568444,0.097612,0.101464,5,0.442632
12,1012,yes,3.294543,0.087842,0.063959,5,0.485419
13,1013,yes,2.926491,0.097659,0.156314,4,0.524045
14,1014,yes,2.746490,0.096791,0.243564,5,0.528323
15,1015,yes,1.881333,0.127671,0.062095,6,0.549488
16,1016,yes,3.278823,0.089265,0.158448,4,0.577361
17,1017,yes,2.955954,0.094715,0.169220,5,0.528649
18,1018,yes,2.285494,0.107443,0.142134,6,0.562183
19,1019,yes,3.680742,0.074559,0.078517,6,0.535280
20,1020,yes,4.119656,0.083669,0.145755,4,0.508617
21,1021,yes,2.459761,0.102076,0.183349,6,0.453233
22,1022,yes,2.406932,0.106723,0.094802,6,0.507176
23,1023,yes,2.233410,0.112227,0.073758,5,0.613508
24,1024,yes,2.240443,0.113987,0.121050,5,0.518549
25,1025,yes,4.228019,0.079483,0.191105,4,0.463878
26,1026,yes,3.402547,0.087037,0.147302,5,0.497363
27,1027,yes,3.937540,0.094030,0.151918,3,0.477525
28,1028,yes,2.168490,0.120089,0.083427,6,0.443508
29,1029,yes,4.000631,0.074557,0.128825,5,0.480431
30,1030,yes,1.738129,0.140700,0.129659,5,0.518392
31,1031,yes,2.240801,0.114588,0.134852,5,0.489774
32,1032,yes,3.479375,0.081439,0.117618,5,0.425937
33,1033,yes,1.602438,0.146609,0.090873,5,0.438964
34,1034,yes,2.575691,0.102938,0.128662,5,0.564288
35,1035,yes,2.151514,0.114732,0.128809,6,0.459428
36,1036,yes,2.190322,0.111546,0.146224,5,0.518794
37,1037,yes,3.199930,0.078248,0.162951,5,0.435903
38,1038,yes,3.464625,0.094283,0.109968,4,0.555763
39,1039,yes,2.860441,0.092651,0.119533,5,0.511725
40,1040,yes,2.108871,0.110552,0.126440,5,0.506421
41,1041,no,1.692159,0.148562,0.327400,5,0.501959
42,1042,yes,3.267544,0.098700,0.232434,3,0.437980
43,1043,yes,3.805404,0.083616,0.132393,5,0.340233
44,1044,yes,2.436311,0.100274,0.149588,6,0.461320
45,1045,yes,2.953129,0.089710,0.076675,6,0.477341
46,1046,yes,3.636060,0.074070,0.104809,6,0.525491
47,1047,yes,2.728101,0.095722,0.170593,5,0.527995
48,1048,yes,4.131304,0.070692,0.196072,5,0.476163
49,1049,no,2.039100,0.141214,0.353112,4,0.492367
50,1050,yes,2.419726,0.110533,0.088370,5,0.573663
51,1051,yes,1.980446,0.118374,0.107024,5,0.494180
52,1052,yes,2.124508,0.119164,0.160852,5,0.544669
53,1053,yes,2.246941,0.108200,0.256736,5,0.453744
54,1054,yes,3.805325,0.082900,0.258587,4,0.515090
55,1055,yes,2.763132,0.096388,0.244229,5,0.471452
56,1056,yes,2.592254,0.097489,0.152421,5,0.478354
57,1057,yes,2.153888,0.110305,0.096067,5,0.551762
58,1058,yes,2.178102,0.106398,0.044553,6,0.530298
59,1059,yes,2.421266,0.112324,0.246850,4,0.501180
60,1060,yes,3.993548,0.096466,0.149878,3,0.373998
61,1061,yes,3.440765,0.085879,0.201818,4,0.516386
62,1062,yes,2.610019,0.098234,0.119116,4,0.483349
63,1063,yes,3.612626,0.086446,0.148422,4,0.572331
64,1064,yes,3.067467,0.091257,0.229826,5,0.521064
65,1065,no,3.039856,0.101297,0.348288,4,0.428108
66,1066,yes,3.676097,0.096785,0.216308,3,0.505835
67,1067,yes,1.382755,0.178290,0.238926,4,0.427662
68,1068,no,2.909365,0.104518,0.342041,5,0.654047
69,1069,yes,1.888996,0.136124,0.119693,5,0.550480
70,1070,yes,2.811911,0.093389,0.062893,5,0.494995
71,1071,yes,1.848182,0.137588,0.112557,5,0.484738
72,1072,yes,3.427403,0.082156,0.109852,5,0.537928
73,1073,yes,3.107966,0.090883,0.168837,5,0.486015
74,1074,yes,3.163788,0.110792,0.119871,3,0.535108
75,1075,yes,2.230617,0.112533,0.120500,5,0.626438
76,1076,yes,4.252388,0.079780,0.234880,4,0.560053
77,1077,yes,1.430654,0.170877,0.106853,5,0.516725
78,1078,yes,3.428646,0.090348,0.192814,5,0.454440
79,1079,yes,2.393858,0.100888,0.092329,6,0.443323
80,1080,yes,1.654341,0.143603,0.127161,6,0.467728
81,1081,yes,2.920619,0.087327,0.137035,6,0.479175
82,1082,yes,2.909113,0.089861,0.152864,6,0.496915
83,1083,yes,2.096582,0.115453,0.195614,5,0.500413
84,1084,yes,3.471578,0.095925,0.257837,4,0.494045
85,1085,yes,2.783346,0.089905,0.092417,6,0.538376
86,1086,no,1.962211,0.134748,0.330822,4,0.527965
87,1087,no,2.868233,0.107220,0.339793,4,0.424431
88,1088,no,3.016510,0.111030,0.365756,3,0.542457
89,1089,yes,2.856130,0.091233,0.103439,5,0.467953
90,1090,yes,3.347346,0.098812,0.206487,4,0.367367
91,1091,yes,2.337520,0.105751,0.121866,5,0.451276
92,1092,yes,2.929883,0.091048,0.126811,5,0.558373
