trial,seed,suppressed,energy,offtarget,final,n_interventions,real_frac
0,1000,yes,11.711560,0.049233,0.213191,5,1.000000
1,1001,no,10.562489,0.043028,0.331402,5,1.000000
2,1002,yes,11.866155,0.038546,0.264670,6,1.000000
3,1003,yes,9.295766,0.046492,0.279652,6,1.000000
4,1004,yes,10.904672,0.040619,0.233066,6,1.000000
5,1005,yes,10.468616,0.039238,0.182384,6,1.000000
6,1006,no,9.915504,0.047888,0.351224,5,1.000000
7,1007,no,10.116622,0.043125,0.370632,6,1.000000
8,1008,yes,10.224612,0.043331,0.272552,6,1.000000
9,1009,yes,11.610079,0.039704,0.250392,6,1.000000
10,1010,yes,9.721674,0.044540,0.286520,6,1.000000
11,1011,no,11.360717,0.041997,0.321484,6,1.000000
12,1012,no,12.544491,0.040335,0.364735,6,1.000000
13,1013,no,9.893717,0.043567,0.302968,6,1.000000
14,1014,yes,11.117760,0.042666,0.294853,5,1.000000
15,1015,no,10.717280,0.040591,0.355702,6,1.000000
16,1016,yes,11.005330,0.039599,0.292385,6,1.000000
17,1017,yes,9.877398,0.042861,0.235490,6,1.000000
18,1018,yes,10.557239,0.039750,0.190742,6,1.000000
19,1019,no,11.507967,0.040415,0.318575,5,1.000000
20,1020,yes,10.849714,0.040450,0.234924,6,1.000000
21,1021,no,9.800697,0.042458,0.344454,6,1.000000
22,1022,yes,11.942071,0.038111,0.253599,6,1.000000
23,1023,yes,6.212330,0.053477,0.232601,5,1.000000
24,1024,yes,11.085320,0.042982,0.297005,6,1.000000
25,1025,yes,11.090271,0.039291,0.279127,6,1.000000
26,1026,no,9.191001,0.045038,0.337388,5,1.000000
27,1027,yes,12.543567,0.037238,0.195727,6,1.000000
28,1028,yes,10.126204,0.042321,0.217652,6,1.000000
29,1029,no,10.289882,0.047284,0.317942,5,1.000000
30,1030,yes,9.561321,0.044298,0.287897,6,1.000000
31,1031,yes,11.242430,0.039164,0.247728,6,1.000000
32,1032,yes,10.348315,0.044073,0.259070,6,1.000000
33,1033,yes,11.918296,0.038459,0.180082,6,1.000000
34,1034,yes,11.441515,0.039972,0.273373,6,1.000000
35,1035,no,10.715518,0.041608,0.306130,6,1.000000
36,1036,yes,11.781534,0.040433,0.179652,6,1.000000
37,1037,yes,10.577137,0.039108,0.270426,6,1.000000
38,1038,yes,11.004249,0.039341,0.257107,6,1.000000
39,1039,no,10.526017,0.045923,0.355269,6,1.000000
40,1040,yes,10.857429,0.041015,0.283363,6,1.000000
41,1041,yes,11.726286,0.038183,0.163235,6,1.000000
