threshold,TP,miss,FP,TPR,FPR,precision,recall,mean_lead_s
0.05,50,0,50,1.000,1.000,0.500,1.000,77.20
0.10,50,0,50,1.000,1.000,0.500,1.000,74.01
0.15,50,0,50,1.000,1.000,0.500,1.000,66.56
0.20,50,0,49,1.000,0.980,0.505,1.000,61.75
0.25,50,0,45,1.000,0.900,0.526,1.000,54.59
0.30,48,2,42,0.960,0.840,0.533,0.960,49.61
0.35,46,4,26,0.920,0.520,0.639,0.920,43.91
0.40,32,18,10,0.640,0.200,0.762,0.640,30.16
0.45,23,27,3,0.460,0.060,0.885,0.460,24.42
0.50,3,47,0,0.060,0.000,1.000,0.060,12.08
0.55,0,50,0,0.000,0.000,0.000,0.000,nan
0.60,0,50,0,0.000,0.000,0.000,0.000,nan
0.65,0,50,0,0.000,0.000,0.000,0.000,nan
0.70,0,50,0,0.000,0.000,0.000,0.000,nan
0.75,0,50,0,0.000,0.000,0.000,0.000,nan
0.80,0,50,0,0.000,0.000,0.000,0.000,nan
0.85,0,50,0,0.000,0.000,0.000,0.000,nan
0.90,0,50,0,0.000,0.000,0.000,0.000,nan
0.95,0,50,0,0.000,0.000,0.000,0.000,nan
